samples,life_style,ecosystem,habitat,mean_si,richness,diversity
mgm4600335,host-associated,animal_host-associated,animal_feces,0.9448120155253775,2460,0.9774613163211544
mgm4600336,host-associated,animal_host-associated,animal_feces,0.945316075224721,2437,0.9876199963899166
mgm4600337,host-associated,animal_host-associated,animal_feces,0.9440665165188589,2430,0.990644687887831
mgm4600338,host-associated,animal_host-associated,animal_feces,0.9453735226241546,2396,0.9908456152648838
mgm4600339,host-associated,animal_host-associated,animal_feces,0.9459824719060791,2405,0.9917506410215174
mgm4600340,host-associated,animal_host-associated,animal_feces,0.9445914962405704,2442,0.9912138670062466
mgm4600341,host-associated,animal_host-associated,animal_feces,0.9450617773099592,2268,0.9909922833722674
mgm4600342,host-associated,animal_host-associated,animal_feces,0.9454200052399874,2453,0.9900884440445488
mgm4600343,host-associated,animal_host-associated,animal_feces,0.9452296259366759,2297,0.9880967277260301
mgm4600344,host-associated,animal_host-associated,animal_feces,0.945142866981857,2186,0.9900980559056265
mgm4600345,host-associated,animal_host-associated,animal_feces,0.9438546162780483,2364,0.9897250025601997
mgm4600346,host-associated,animal_host-associated,animal_feces,0.9449803202097484,2355,0.9890873650330111
mgm4600347,host-associated,animal_host-associated,animal_feces,0.943623602997763,2453,0.9918430660897269
mgm4600348,host-associated,animal_host-associated,animal_feces,0.9434141467999191,2424,0.9911992309479161
mgm4600349,host-associated,animal_host-associated,animal_feces,0.9447744743410932,2393,0.9908142117710385
mgm4600350,host-associated,animal_host-associated,animal_feces,0.943867528467466,2415,0.990709799562956
mgm4600351,host-associated,animal_host-associated,animal_feces,0.9454151675897492,2361,0.9906454906445235
mgm4600352,host-associated,animal_host-associated,animal_feces,0.9435151535810877,2317,0.9875612310411882
mgm4600353,host-associated,animal_host-associated,animal_feces,0.9441652062894352,2419,0.9910497943464419
mgm4600355,host-associated,animal_host-associated,animal_feces,0.9452160164546533,2400,0.9893489393448691
mgm4600356,host-associated,animal_host-associated,animal_feces,0.94321350928542,2020,0.9843825265720231
mgm4600357,host-associated,animal_host-associated,animal_feces,0.942834186419305,2299,0.9903254109561219
mgm4600359,host-associated,animal_host-associated,animal_feces,0.9446347133086491,2263,0.9882358331699581
mgm4600360,host-associated,animal_host-associated,animal_feces,0.9439223062342242,2325,0.9869913310854395
mgm4600362,host-associated,animal_host-associated,animal_feces,0.9440814134007722,2347,0.9878016601706113
mgm4600363,host-associated,animal_host-associated,animal_feces,0.9450628718282044,2382,0.9890519634180791
mgm4600364,host-associated,animal_host-associated,animal_feces,0.9436630388789551,2309,0.9893283695612037
mgm4600365,host-associated,animal_host-associated,animal_feces,0.9459265430106446,2289,0.9832628798725017
mgm4600366,host-associated,animal_host-associated,animal_feces,0.9447331808207505,2356,0.9858849444881965
mgm4600367,host-associated,animal_host-associated,animal_feces,0.9447719934230434,2336,0.9891353521652873
mgm4600368,host-associated,animal_host-associated,animal_feces,0.9446615458801298,2409,0.9901136962719557
mgm4600369,host-associated,animal_host-associated,animal_feces,0.9455311611525613,2336,0.9904430915441945
mgm4600370,host-associated,animal_host-associated,animal_feces,0.9449188795257625,2387,0.9863192761865155
mgm4600371,host-associated,animal_host-associated,animal_feces,0.9458811612812471,2260,0.9843507230865216
mgm4600372,host-associated,animal_host-associated,animal_feces,0.9441164196036348,2290,0.9905687035202948
mgm4600373,host-associated,animal_host-associated,animal_feces,0.9455065912081666,2379,0.9863110841819104
mgm4600374,host-associated,animal_host-associated,animal_feces,0.9444590206097521,2336,0.989231441536274
mgm4600375,host-associated,animal_host-associated,animal_feces,0.9444847436054908,2335,0.9827351808173364
mgm4600376,host-associated,animal_host-associated,animal_feces,0.9287126408616933,2290,0.9879003913374969
mgm4600377,host-associated,animal_host-associated,animal_feces,0.924814425704569,2339,0.9871627010463259
